area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;010150;007701;006;01;1;2;2;3;3;3;2;2;3;2;2;3;2;2;2;3;3;2;2;2;2;2;2;2;010150007701;01015000770100601;010150007701006011;2711;101,533965731267;201912
1;010150;007701;006;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;3;010150007701;01015000770100602;010150007701006021;2711;101,533965731267;201912
1;010150;007701;006;03;1;3;3;3;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;3;3;3;3;010150007701;01015000770100603;010150007701006031;2711;101,533965731267;201912
1;010150;007701;006;04;1;2;2;3;3;2;2;2;3;3;2;2;2;2;2;2;3;2;2;2;2;2;3;3;010150007701;01015000770100604;010150007701006041;2711;101,533965731267;201912
1;010150;007701;006;05;1;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;3;3;3;010150007701;01015000770100605;010150007701006051;2711;101,533965731267;201912
1;010150;007701;006;06;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;3;3;010150007701;01015000770100606;010150007701006061;2711;101,533965731267;201912
1;010150;007701;006;07;1;3;3;3;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150007701;01015000770100607;010150007701006071;2711;101,533965731267;201912
1;010150;008101;006;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;3;3;3;3;010150008101;01015000810100601;010150008101006011;2712;154,725248836811;201912
1;010150;008101;006;02;1;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;010150008101;01015000810100602;010150008101006021;2712;154,725248836811;201912
1;010150;008101;006;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150008101;01015000810100603;010150008101006031;2712;154,725248836811;201912
1;010150;008101;006;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150008101;01015000810100604;010150008101006041;2712;154,725248836811;201912
1;010150;008101;006;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150008101;01015000810100605;010150008101006051;2712;154,725248836811;201912
1;010150;008101;006;06;1;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;010150008101;01015000810100606;010150008101006061;2712;154,725248836811;201912
1;010150;008101;006;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150008101;01015000810100607;010150008101006071;2712;154,725248836811;201912
1;010150;008102;012;01;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150008102;01015000810201201;010150008102012011;2712;229,252159935637;201912
